127.0.0.1, 2018-10-23 11:56:41, GET, /admin/default/ticket/CMPS183_HW2/127.0.0.1.2018-10-23.11-56-39.c0058c4b-4192-428f-b160-85e01cc5c927, HTTP/1.1, 200, 0.055937
127.0.0.1, 2018-10-23 11:56:42, GET, /admin/static/_2.17.2/images/help.png, HTTP/1.1, 200, 0.004204
127.0.0.1, 2018-10-23 11:56:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000335
127.0.0.1, 2018-10-23 12:10:03, GET, /, HTTP/1.1, 303, 0.004554
127.0.0.1, 2018-10-23 12:10:04, GET, /welcome/default/index, HTTP/1.1, 200, 0.191455
127.0.0.1, 2018-10-23 12:10:04, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000213
127.0.0.1, 2018-10-23 12:10:08, GET, /admin/default/site, HTTP/1.1, 303, 0.102174
127.0.0.1, 2018-10-23 12:10:08, GET, /admin/default/index, HTTP/1.1, 200, 0.025320
127.0.0.1, 2018-10-23 12:10:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000255
127.0.0.1, 2018-10-23 12:10:11, POST, /admin/default/index, HTTP/1.1, 303, 0.009803
127.0.0.1, 2018-10-23 12:10:11, GET, /admin/default/site, HTTP/1.1, 200, 0.037915
127.0.0.1, 2018-10-23 12:10:11, POST, /admin/default/check_version, HTTP/1.1, 200, 0.341825
127.0.0.1, 2018-10-23 12:10:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000337
127.0.0.1, 2018-10-23 12:10:13, GET, /web2py_start/default/index, HTTP/1.1, 200, 0.081923
127.0.0.1, 2018-10-23 12:10:13, GET, /web2py_start/static/css/custom.css, HTTP/1.1, 200, 0.001435
127.0.0.1, 2018-10-23 12:10:13, GET, /web2py_start/static/css/calendar.css, HTTP/1.1, 200, 0.001500
127.0.0.1, 2018-10-23 12:10:13, GET, /web2py_start/static/css/stupid.css, HTTP/1.1, 200, 0.002183
127.0.0.1, 2018-10-23 12:10:13, GET, /web2py_start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.001477
127.0.0.1, 2018-10-23 12:10:13, GET, /web2py_start/static/css/myapp.css, HTTP/1.1, 200, 0.001541
127.0.0.1, 2018-10-23 12:10:13, GET, /web2py_start/static/css/web2py.css, HTTP/1.1, 200, 0.001196
127.0.0.1, 2018-10-23 12:10:13, GET, /web2py_start/static/js/calendar.js, HTTP/1.1, 200, 0.000387
127.0.0.1, 2018-10-23 12:10:13, GET, /web2py_start/static/js/jquery.js, HTTP/1.1, 200, 0.001401
127.0.0.1, 2018-10-23 12:10:13, GET, /web2py_start/static/js/web2py.js, HTTP/1.1, 200, 0.000386
127.0.0.1, 2018-10-23 12:10:13, GET, /web2py_start/static/js/vue.min.js, HTTP/1.1, 200, 0.000628
127.0.0.1, 2018-10-23 12:10:13, GET, /web2py_start/static/js/marked.min.js, HTTP/1.1, 200, 0.001337
127.0.0.1, 2018-10-23 12:10:13, GET, /web2py_start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000331
127.0.0.1, 2018-10-23 12:10:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000280
127.0.0.1, 2018-10-23 12:10:16, GET, /web2py_start/default/add, HTTP/1.1, 303, 0.015440
127.0.0.1, 2018-10-23 12:10:16, GET, /web2py_start/default/user/login, HTTP/1.1, 200, 0.019978
127.0.0.1, 2018-10-23 12:10:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000195
127.0.0.1, 2018-10-23 12:10:18, GET, /web2py_start/default/user/register, HTTP/1.1, 200, 0.018767
127.0.0.1, 2018-10-23 12:10:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000181
127.0.0.1, 2018-10-23 12:10:32, POST, /web2py_start/default/user/register, HTTP/1.1, 303, 0.024894
127.0.0.1, 2018-10-23 12:10:32, GET, /web2py_start/default/add, HTTP/1.1, 200, 0.019194
127.0.0.1, 2018-10-23 12:10:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000287
127.0.0.1, 2018-10-23 16:26:02, GET, /, HTTP/1.1, 303, 0.002629
127.0.0.1, 2018-10-23 16:26:02, GET, /welcome/default/index, HTTP/1.1, 200, 0.149679
127.0.0.1, 2018-10-23 16:26:03, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000221
127.0.0.1, 2018-10-23 16:26:09, GET, /admin/default/site, HTTP/1.1, 303, 0.179910
127.0.0.1, 2018-10-23 16:26:09, GET, /admin/default/index, HTTP/1.1, 200, 0.034296
127.0.0.1, 2018-10-23 16:26:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000257
127.0.0.1, 2018-10-23 16:26:13, POST, /admin/default/index, HTTP/1.1, 303, 0.010927
127.0.0.1, 2018-10-23 16:26:13, GET, /admin/default/site, HTTP/1.1, 200, 0.037074
